Unnamed: 0,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length,boundary_pct,is_anchor,is_power_hitter,is_finisher,is_experienced,role,predicted_role
523,H Dalal,2019-2022,28,668,25.69,140.33,67,36,2019,2022,4,72.45508982035929,True,True,True,False,Inexperienced Elite Batter,Inexperienced Elite Batter
524,J Hermann,2023-2025,30,666,25.61,113.26,66,19,2023,2025,3,56.75675675675676,True,False,False,False,Inexperienced Anchor,Inexperienced Anchor
525,CS Jani,2013-2024,65,666,25.61,135.36,48,28,2013,2024,12,54.054054054054056,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
526,MG Neser,2011-2025,104,666,14.47,127.34,53,22,2011,2025,15,51.651651651651655,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
527,HG Munsey,2016-2025,28,663,25.5,126.04,72,29,2016,2025,10,69.68325791855203,True,False,False,True,Experienced Anchor,Experienced Power Hitter
528,KP Singh,2019-2024,34,663,24.55,93.77,61,20,2019,2024,6,54.90196078431373,True,False,False,True,Experienced Anchor,Experienced Anchor
529,DH Yagnik,2007-2017,56,662,18.91,116.96,70,18,2007,2017,11,58.610271903323266,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
530,Avneesh Sudha,2019-2024,29,661,24.48,126.62,75,21,2019,2024,6,64.44780635400907,True,False,False,True,Experienced Anchor,Experienced Anchor
531,MP Breetzke,2023-2025,28,658,29.9,128.76,62,30,2023,2025,3,65.04559270516718,True,True,False,False,Inexperienced Versatile Batter,Inexperienced Anchor Finisher
532,AS Roy,2019-2024,58,657,21.19,150.34,51,32,2019,2024,6,60.273972602739725,False,True,True,True,Experienced Explosive Finisher,Experienced Power Hitter
533,KS Sharma,2021-2024,29,657,27.37,117.95,59,23,2021,2024,4,56.925418569254184,True,False,False,False,Inexperienced Anchor,Inexperienced Anchor
534,Sumit Kumar,2019-2024,56,657,26.28,131.4,53,31,2019,2024,6,60.57838660578386,True,True,False,True,Experienced Versatile Batter,Experienced Anchor
535,AUK Pathan,2009-2016,34,656,23.42,148.75,75,28,2009,2016,8,71.34146341463415,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
536,BM Duckett,2017-2025,27,655,24.25,133.67,76,13,2017,2025,9,58.3206106870229,True,False,False,True,Experienced Anchor,Experienced Anchor
537,S Rana,2007-2015,42,654,22.55,111.41,54,18,2007,2015,9,49.54128440366973,True,False,False,True,Experienced Anchor,Experienced Anchor
538,D Pretorius,2012-2025,90,653,15.92,125.81,44,30,2012,2025,14,54.517611026033684,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
539,SB Dubey,2021-2024,30,652,38.35,152.69,38,40,2021,2024,4,60.122699386503065,True,True,True,False,Inexperienced Elite Batter,Inexperienced Elite Batter
540,Y Nagar,2009-2019,55,652,19.17,106.88,53,16,2009,2019,11,47.239263803680984,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
541,E Sen,2019-2024,37,652,25.07,128.34,66,27,2019,2024,6,65.33742331288343,True,False,False,True,Experienced Anchor,Experienced Anchor
542,AD Kaushik,2014-2022,31,651,22.44,107.6,57,16,2014,2022,9,49.76958525345622,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
543,Nasir Jamshed,2012-2016,31,650,23.21,115.86,61,20,2012,2016,5,56.00000000000001,True,False,False,True,Experienced Anchor,Experienced Anchor
544,TM Srivastava,2007-2019,34,649,28.21,116.3,63,15,2007,2019,13,52.69645608628659,True,False,False,True,Experienced Anchor,Experienced Anchor
545,CJ Jordan,2014-2025,155,648,12.46,118.03,44,27,2014,2025,12,52.160493827160494,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
546,TB Abell,2019-2025,32,644,24.76,127.52,73,11,2019,2025,7,55.590062111801245,True,False,False,True,Experienced Anchor,Experienced Anchor
547,SU Shrivastava,2009-2019,40,639,19.36,103.56,53,5,2009,2019,11,37.8716744913928,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
548,Anand Singh,2009-2021,27,638,27.73,119.47,84,16,2009,2021,13,67.7115987460815,True,False,False,True,Experienced Anchor,Experienced Balanced Batter
549,A Ashish Reddy,2009-2019,77,637,13.55,126.89,36,28,2009,2019,11,48.97959183673469,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
550,NA McSweeney,2020-2025,26,637,27.69,116.88,54,14,2020,2025,6,47.09576138147567,True,False,False,True,Experienced Anchor,Experienced Anchor
551,SA Abbott,2011-2025,127,631,11.26,114.1,38,25,2011,2025,15,47.86053882725832,False,False,False,True,Experienced Balanced Batter,Inexperienced Balanced Batter
552,HH Khadiwale,2009-2016,26,630,24.23,124.01,69,12,2009,2016,8,55.23809523809524,True,False,False,True,Experienced Anchor,Experienced Anchor
553,W Sutherland,2018-2025,63,630,18.52,134.32,33,29,2018,2025,8,48.57142857142857,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
554,R Inder Singh,2009-2017,28,629,23.29,107.52,72,10,2009,2017,9,55.325914149443555,True,False,False,True,Experienced Anchor,Experienced Balanced Batter
555,L Gregory,2011-2023,44,628,20.93,133.33,51,27,2011,2023,13,58.28025477707006,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
556,C Kieswetter,2009-2014,27,627,25.08,110.97,61,27,2009,2014,6,64.75279106858054,True,False,False,True,Experienced Anchor,Experienced Anchor
557,R Jangid,2009-2019,51,625,15.62,118.82,60,13,2009,2019,11,50.88,False,False,False,True,Experienced Balanced Batter,Inexperienced Balanced Batter
558,AJ Hosein,2014-2025,126,625,16.02,109.45,35,27,2014,2025,12,48.32,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
559,Salman Butt,2007-2020,26,623,24.92,109.87,80,7,2007,2020,14,58.10593900481541,True,False,False,True,Experienced Anchor,Experienced Balanced Batter
