Unnamed: 0,player,span,mat,wickets,econ,sr,start_year,end_year,career_length,is_wicket_taker,is_economist,is_experienced,role,predicted_role
1756,Aditya Jadeja,2023-2023,7,3,7.61,36.0,2023,2023,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1757,Aftab Ibrahim,2024-2024,3,3,8.71,14.0,2024,2024,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1758,Ahsan Hafeez,2023-2024,6,3,10.0,16.0,2023,2024,2,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1759,Aimal Khan,2023-2024,5,3,11.86,30.0,2023,2024,2,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1760,MS Akhil,2021-2021,4,3,9.37,16.0,2021,2021,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1761,S Akshay Jain,2019-2022,7,3,7.61,36.0,2019,2022,4,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1762,Aks Swadhin,2022-2022,4,3,9.35,28.0,2022,2022,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1763,Al-Amin,2015-2023,29,3,9.57,42.0,2015,2023,9,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1764,K Alleyne,2021-2025,19,3,11.72,14.6,2021,2025,5,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1765,M Ansari,2016-2016,3,3,10.87,16.0,2016,2016,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1766,Arafat Khan,2022-2023,3,3,7.37,16.0,2022,2023,2,False,True,False,Inexperienced Economist,Inexperienced Economist
1767,B Arun Kumar,2011-2011,4,3,6.2,20.0,2011,2011,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1768,Ashutosh Singh,2016-2024,17,3,5.5,24.0,2016,2024,9,False,True,False,Inexperienced Economist,Inexperienced Economist
1769,Asif Raza,2014-2014,6,3,5.6,15.0,2014,2014,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1770,P Awasthi,2013-2019,13,3,6.68,32.0,2013,2019,7,False,True,False,Inexperienced Economist,Inexperienced Economist
1771,CB Bailey,2010-2010,5,3,9.3,26.0,2010,2010,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1772,RT Bailey,2009-2009,4,3,6.0,18.0,2009,2009,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1773,S Baliyan,2022-2022,5,3,8.0,24.0,2022,2022,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1774,AA Bamal,2018-2018,5,3,5.85,40.0,2018,2018,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1775,S Barik,2022-2022,5,3,9.13,30.6,2022,2022,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1776,Basil Hameed,2022-2022,3,3,7.4,10.0,2022,2022,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1777,M Beardman,2025-2025,2,3,7.2,10.0,2025,2025,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1778,AS Bedi,2021-2024,5,3,8.5,36.0,2021,2024,4,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1779,VM Bhardwaj,2014-2014,4,3,6.63,22.0,2014,2014,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1780,Bhupender Chauhan,2023-2023,2,3,10.16,12.0,2023,2023,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1781,ACR Birch,2019-2019,2,3,9.62,16.0,2019,2019,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1782,Bishawnath Halder,2013-2013,7,3,6.95,39.6,2013,2013,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1783,AP Bora,2024-2024,3,3,8.89,18.6,2024,2024,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1784,DP Borah,2024-2024,5,3,10.62,20.3,2024,2024,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
