,player,span,mat,wickets,econ,sr,start_year,end_year,career_length
288,A Ashish Reddy,2009-2019,77,57,8.01,16.4,2009,2019,11
289,SZ Mulani,2018-2024,51,57,6.96,19.1,2018,2024,7
290,RA Reifer,2013-2024,83,57,8.92,14.5,2013,2024,12
291,Yuvraj Singh,2007-2019,198,57,7.6,22.7,2007,2019,13
292,RL Chase,2018-2024,71,56,6.69,19.5,2018,2024,7
293,K Pierre,2017-2024,60,56,6.96,21.0,2017,2024,8
294,Yash Dayal,2019-2025,59,56,8.4,20.7,2019,2025,7
295,RP Dahiya,2009-2018,46,55,7.81,16.0,2009,2018,10
296,N Pradeep,2018-2024,38,55,9.51,13.5,2018,2024,7
297,CS Jani,2013-2024,65,55,7.55,22.7,2013,2024,12
298,SH Johnson,2023-2025,42,55,7.98,16.6,2023,2025,3
299,M Kelly,2018-2025,39,55,8.11,15.1,2018,2025,8
300,Saeed Ajmal,2009-2017,44,55,7.08,18.0,2009,2017,9
301,Sikandar Raza,2014-2024,96,55,7.67,21.0,2014,2024,11
302,VG Arora,2021-2025,51,54,8.26,19.4,2021,2025,5
303,A Madhwal,2019-2024,46,54,8.68,17.0,2019,2024,6
304,G Motie,2021-2024,48,54,7.18,17.5,2021,2024,4
305,Nasir Hossain,2012-2023,89,54,7.38,20.7,2012,2023,12
306,Nasum Ahmed,2015-2025,67,54,7.05,24.9,2015,2025,11
307,Baltej Singh,2016-2024,41,53,7.62,17.0,2016,2024,9
308,B Fernando,2020-2025,42,53,7.1,16.6,2020,2025,6
309,Khushdil Shah,2017-2025,86,53,6.81,15.4,2017,2025,9
310,A Kumble,2008-2010,52,53,6.72,22.6,2008,2010,3
311,Mukesh Kumar,2016-2025,51,53,8.84,19.6,2016,2025,10
312,T Sangha,2020-2025,42,53,7.25,16.0,2020,2025,6
313,S Sreesanth,2007-2021,62,53,8.3,23.2,2007,2021,15
314,AA Wakhare,2009-2022,62,53,6.83,23.1,2009,2022,14
315,Lalit Yadav,2018-2024,82,53,7.02,22.7,2018,2024,7
316,S Bhati,2016-2021,44,52,7.68,17.2,2016,2021,6
317,PVD Chameera,2016-2024,55,52,8.77,22.8,2016,2024,9
318,CT Gaja,2014-2024,43,52,7.66,15.8,2014,2024,11
319,RJ Harris,2009-2014,43,52,7.58,18.6,2009,2014,6
320,VY Mahesh,2007-2014,46,52,7.72,17.8,2007,2014,8
321,M Ravi Kiran,2014-2024,47,52,7.33,19.4,2014,2024,11
322,Rumman Raees,2016-2024,52,52,7.83,20.5,2016,2024,9
323,MJ Santner,2014-2025,57,52,6.7,21.2,2014,2025,12
324,Umran Malik,2021-2024,45,52,8.93,17.4,2021,2024,4
325,Vikash Singh,2014-2024,52,52,7.98,20.0,2014,2024,11
326,J Yadav,2013-2023,88,52,6.33,30.9,2013,2023,11
327,Yasir Arafat,2007-2015,40,52,8.3,15.5,2007,2015,9
328,Anwar Ali,2016-2024,66,51,9.31,22.0,2016,2024,9
329,OEG Baartman,2023-2025,32,51,7.45,12.7,2023,2025,3
330,BA Bhatt,2011-2021,58,51,7.31,21.8,2011,2021,11
331,Gurinder Singh,2013-2022,59,51,6.74,22.4,2013,2022,10
332,V Permaul,2013-2024,73,51,6.83,27.8,2013,2024,12
333,N Rana,2013-2025,195,51,7.05,18.0,2013,2025,13
334,Abdur Razzak,2007-2017,51,50,7.03,20.1,2007,2017,11
335,Akash Deep,2019-2025,43,50,7.81,18.3,2019,2025,7
336,KC Cariappa,2015-2024,52,50,6.54,23.1,2015,2024,10
337,K Kartikeya,2019-2025,43,50,7.24,17.5,2019,2025,7
338,KR Mayers,2013-2025,119,50,7.58,23.0,2013,2025,13
339,Shivam Mavi,2018-2024,55,50,8.18,22.6,2018,2024,7
340,Sumit Kumar,2019-2024,56,50,7.46,14.8,2019,2024,6
341,Umaid Asif,2012-2023,48,50,8.46,21.2,2012,2023,12
342,CR Woakes,2013-2025,41,50,8.72,16.7,2013,2025,13
343,LA Garg,2014-2023,50,49,8.0,20.5,2014,2023,10
344,RB Kalaria,2013-2022,40,49,6.76,17.6,2013,2022,10
345,Shohidul Islam,2016-2024,37,49,8.3,16.0,2016,2024,9
346,DR Smith,2007-2019,234,49,8.76,23.8,2007,2019,13
347,HTRJY Thornton,2017-2025,32,49,8.69,13.6,2017,2025,9
348,B Ayyappa,2014-2022,40,48,7.37,18.2,2014,2022,9
349,Azmatullah Omarzai,2022-2025,58,48,8.79,20.3,2022,2025,4
350,Fazalhaq Farooqi,2022-2025,36,48,7.47,16.2,2022,2025,4
351,V Koushik,2019-2024,38,48,7.7,16.6,2019,2024,6
352,Mosharraf Hossain,2012-2019,47,48,6.37,18.7,2012,2019,8
353,JL Pattinson,2010-2022,42,48,8.6,18.2,2010,2022,13
354,Anand Rajan,2007-2013,31,47,6.82,14.6,2007,2013,7
355,MA Beer,2011-2019,68,47,6.62,29.6,2011,2019,9
356,CH Gayle,2007-2022,356,47,7.9,29.7,2007,2022,16
357,Mukesh Choudhary,2019-2025,35,47,9.14,15.5,2019,2025,7
358,JS Paris,2013-2025,52,47,8.61,21.1,2013,2025,13
359,L Pope,2018-2025,40,47,8.43,16.4,2018,2025,8
360,SB Pradhan,2013-2022,52,47,6.97,21.4,2013,2022,10
361,LR Shukla,2007-2015,81,47,7.11,20.7,2007,2015,9
362,V Vyshak,2021-2025,37,47,8.63,16.5,2021,2025,5
363,Zahir Khan,2017-2024,53,47,7.47,24.0,2017,2024,8
364,Amit Yadav,2007-2022,48,46,6.48,20.6,2007,2022,16
365,RT Arothe,2014-2019,45,46,8.29,18.0,2014,2019,6
366,JP Duminy,2007-2019,149,46,7.72,24.1,2007,2019,13
367,AH Hooda,2011-2019,50,46,7.02,20.5,2011,2019,9
368,SK Raina,2008-2021,288,46,7.04,29.6,2008,2021,14
369,Tanzim Hasan Sakib,2023-2025,32,46,8.44,14.6,2023,2025,3
370,Abbas Afridi,2021-2024,33,45,9.12,14.4,2021,2024,4
371,AB Agarkar,2007-2013,61,45,8.28,25.7,2007,2013,7
372,NM Lyon,2011-2023,42,45,7.24,18.4,2011,2023,13
373,U Manukrishnan,2011-2023,47,45,6.74,20.1,2011,2023,13
374,DG Pathania,2017-2022,40,45,7.4,19.3,2017,2022,6
375,NJ Rimmington,2011-2017,47,45,7.93,19.6,2011,2017,7
376,RS Shah,2011-2021,46,45,6.93,20.1,2011,2021,11
377,Shahnawaz Dahani,2021-2024,34,45,8.99,15.1,2021,2024,4
378,J Theron,2010-2015,40,45,7.91,19.3,2010,2015,6
379,MA Avasthi,2021-2024,28,44,8.23,14.2,2021,2024,4
380,P Hatzoglou,2020-2025,53,44,7.74,24.5,2020,2025,6
381,M Kartik,2008-2014,77,44,7.05,35.7,2008,2014,7
382,MP Kuhnemann,2019-2025,55,44,7.62,23.0,2019,2025,7
383,VS Malik,2007-2014,41,44,7.34,18.7,2007,2014,8
384,AJ Mandal,2017-2024,46,44,7.11,19.8,2017,2024,8
385,MN Samuels,2007-2017,116,44,7.18,26.1,2007,2017,11
386,Simarjeet Singh,2019-2025,38,44,8.2,16.6,2019,2025,7
