,player,span,mat,wickets,econ,sr,start_year,end_year,career_length
777,RR Singh,2019-2024,33,19,7.55,30.4,2019,2024,6
778,SP Udeshi,2019-2023,27,19,6.11,32.2,2019,2023,5
779,Umer Khan,2019-2020,17,19,7.78,16.1,2019,2020,2
780,MRJ Watt,2016-2024,18,19,6.42,20.8,2016,2024,9
781,BJ Webster,2017-2025,83,19,7.38,29.6,2017,2025,9
782,MP Yadav,2022-2024,14,19,6.6,13.0,2022,2024,3
783,SB Yadav,2009-2017,24,19,7.67,20.5,2009,2017,9
784,Zahoor Khan,2021-2024,14,19,7.91,15.1,2021,2024,4
785,KJ Abbott,2014-2020,20,18,9.26,23.0,2014,2020,7
786,RK Ahmed,2018-2022,32,18,8.23,21.1,2018,2022,5
787,Amarjeet Singh,2009-2014,18,18,8.08,19.5,2009,2014,6
788,MS Bhandage,2019-2024,28,18,8.66,16.6,2019,2024,6
789,IG Butler,2009-2013,14,18,8.51,14.5,2009,2013,5
790,AA Darekar,2010-2015,15,18,6.98,17.6,2010,2015,6
791,KR Hooda,2011-2015,21,18,6.14,18.4,2011,2015,5
792,SA Jacobs,2010-2019,32,18,7.43,31.7,2010,2019,10
793,SS Jain,2014-2023,20,18,6.25,18.3,2014,2023,10
794,Khurram Shahzad,2021-2024,12,18,8.2,13.1,2021,2024,4
795,T Kohli,2008-2022,57,18,9.06,27.5,2008,2022,15
796,BB Lather,2021-2024,24,18,8.28,22.3,2021,2024,4
797,KR Makvana,2007-2016,26,18,6.88,23.6,2007,2016,10
798,RTM Mendis,2020-2024,30,18,8.01,20.5,2020,2024,5
799,Mohammad Asif,2007-2010,16,18,8.76,20.9,2007,2010,4
800,Muktar Ali,2012-2023,48,18,8.8,31.1,2012,2023,12
801,Nagaho Chishi,2019-2024,27,18,8.83,20.6,2019,2024,6
802,C Nanda,2007-2010,20,18,6.91,20.3,2007,2010,4
803,A Negi,2018-2021,19,18,7.29,23.6,2018,2021,4
804,Parvez Sultan,2021-2024,16,18,8.04,15.7,2021,2024,4
805,Ramandeep Singh,2017-2025,64,18,8.22,12.8,2017,2025,9
806,AM Salvi,2007-2013,19,18,8.12,21.6,2007,2013,7
807,PADLR Sandakan,2014-2024,19,18,8.6,22.0,2014,2024,11
808,AA Sarwate,2014-2023,18,18,7.4,17.8,2014,2023,10
809,AJ Shinde,2007-2014,20,18,7.21,20.0,2007,2014,8
810,RJ Sidebottom,2009-2012,14,18,7.3,14.6,2009,2012,4
811,LMP Simmons,2009-2022,203,18,9.14,16.5,2009,2022,14
812,SV Trivedi,2015-2021,20,18,8.86,21.6,2015,2021,7
813,Zafar Gohar,2016-2022,17,18,8.39,15.4,2016,2022,7
814,Abdul Razzaq,2009-2018,32,17,8.21,25.3,2009,2018,10
815,Abhijeet Saket,2019-2023,18,17,8.47,19.9,2019,2023,5
816,Aizaz Cheema,2014-2019,11,17,8.43,13.0,2014,2019,6
817,Amrinder Singh,2010-2011,10,17,4.88,13.2,2010,2011,2
818,B Aparajith,2013-2023,62,17,6.03,21.2,2013,2023,11
819,Ashar Zaidi,2015-2016,17,17,5.5,16.9,2015,2016,2
820,A Aswin Crist,2015-2021,11,17,7.69,12.7,2015,2021,7
821,RR Bhatkal,2007-2012,20,17,7.65,17.4,2007,2012,6
822,A Dev Goud,2019-2024,7,17,6.4,8.8,2019,2024,6
823,Hamid Hassan,2010-2021,13,17,5.6,16.7,2010,2021,12
824,DJ Harris,2010-2014,41,17,8.06,17.6,2010,2014,5
825,Imtiaz Ahmed,2009-2017,20,17,7.75,24.3,2009,2017,9
826,AS Jamwal,2019-2024,26,17,6.42,31.7,2019,2024,6
827,M Jangra,2019-2024,17,17,8.35,21.0,2019,2024,6
828,AL Menaria,2011-2022,72,17,6.55,26.5,2011,2022,12
829,EMDY Munaweera,2012-2023,48,17,6.71,26.8,2012,2023,12
830,DM Parwani,2023-2024,9,17,10.43,10.3,2023,2024,2
831,TR Patel,2019-2024,17,17,8.67,20.4,2019,2024,6
832,T Pradeep,2017-2022,22,17,8.55,27.5,2017,2022,6
833,Pramod Madushan,2021-2024,19,17,9.36,19.8,2021,2024,4
834,JA Prestwidge,2019-2023,25,17,8.32,20.9,2019,2023,5
835,SL Rainbird,2015-2022,24,17,8.9,26.5,2015,2022,8
836,AV Rajput,2021-2024,23,17,8.79,12.8,2021,2024,4
837,PR Rekhade,2022-2024,12,17,6.0,15.5,2022,2024,3
838,S Sam,2013-2015,13,17,6.16,17.6,2013,2015,3
839,SMSM Senanayake,2012-2016,22,17,6.28,27.5,2012,2016,5
840,G Shankara Rao,2007-2010,15,17,6.86,15.8,2007,2010,4
841,SH Srinivas,2011-2017,22,17,7.13,18.2,2011,2017,7
842,TL Suman,2007-2015,75,17,7.92,25.0,2007,2015,9
843,P Suyal,2012-2021,24,17,7.75,29.5,2012,2021,10
844,Tajinder Singh,2017-2024,22,17,6.81,15.5,2017,2024,8
845,Tarani Sa,2021-2024,18,17,8.39,20.0,2021,2024,4
846,AJ Turner,2013-2025,145,17,7.64,20.8,2013,2025,13
847,BTJ Wheal,2021-2024,15,17,7.89,17.8,2021,2024,4
848,AV Vasavada,2011-2021,40,16,5.63,14.5,2011,2021,11
849,AD Nath,2013-2022,86,16,7.86,16.5,2013,2022,10
850,Akash Singh,2019-2024,20,16,8.86,24.3,2019,2024,6
851,Avinash Yadav,2010-2022,22,16,7.18,25.8,2010,2022,13
852,A Bali,2009-2014,18,16,6.31,16.6,2009,2014,6
853,A Chaprana,2019-2021,15,16,7.44,20.3,2019,2021,3
854,N Chaudhary,2017-2025,32,16,7.83,24.7,2017,2025,9
855,BFW de Leede,2021-2024,15,16,8.22,13.8,2021,2024,4
856,AM Fernando,2020-2024,16,16,9.78,21.1,2020,2024,5
857,C Green,2019-2024,43,16,9.04,28.9,2019,2024,6
858,HMRKB Herath,2009-2016,15,16,5.47,20.0,2009,2016,8
859,Hussain Talat,2017-2025,64,16,9.21,21.9,2017,2025,9
860,AG Jungade,2011-2016,18,16,8.37,21.4,2011,2016,6
861,SS Kumar,2009-2019,23,16,8.02,17.2,2009,2019,11
862,Mandeep Singh,2010-2024,211,16,7.38,22.6,2010,2024,15
863,KD Patel,2018-2023,21,16,8.57,28.3,2018,2023,6
864,Preetamjit Das,2007-2010,15,16,6.19,19.3,2007,2010,4
865,AN Raj,2021-2022,10,16,6.84,13.3,2021,2022,2
866,RR Raj,2014-2017,14,16,7.19,19.4,2014,2017,4
867,Rakibul Hasan,2023-2025,22,16,7.57,24.5,2023,2025,3
868,C Rakshann Readdi,2021-2024,16,16,7.47,19.6,2021,2024,4
869,LM Ralte,2019-2024,33,16,9.73,31.5,2019,2024,6
870,JK Reed,2015-2017,10,16,8.93,11.6,2015,2017,3
871,A Sakuja,2011-2018,15,16,5.16,20.6,2011,2018,8
872,AK Sarkar,2013-2024,20,16,8.2,24.3,2013,2024,12
873,JPR Scantlebury-Searles,2014-2019,46,16,10.36,18.3,2014,2019,6
874,PN Seet,2013-2017,18,16,8.53,22.0,2013,2017,5
875,AA Sengupta,2021-2024,17,16,9.42,17.7,2021,2024,4
876,SM Sharif,2016-2024,14,16,8.47,18.0,2016,2024,9
877,G Singh,2011-2014,15,16,6.8,18.7,2011,2014,4
878,Sachin K Singh,2021-2024,24,16,7.41,22.3,2021,2024,4
879,D Swaroop Kumar,2013-2019,16,16,7.76,16.1,2013,2019,7
880,RN ten Doeschate,2009-2021,87,16,9.31,19.0,2009,2021,13
881,V Tokas,2010-2019,17,16,8.24,18.0,2010,2019,10
882,S Tyagi,2009-2020,25,16,7.91,22.7,2009,2020,12
883,S Abbas Ali,2007-2013,19,15,7.1,14.0,2007,2013,7
884,YA Abdulla,2009-2010,11,15,8.81,13.9,2009,2010,2
885,Amitoze Singh,2010-2013,17,15,6.44,17.8,2010,2013,4
886,DAJ Bracewell,2010-2024,10,15,9.52,12.2,2010,2024,15
887,MG Bracewell,2013-2024,15,15,6.76,15.6,2013,2024,12
888,Y Chudasama,2018-2024,15,15,7.18,18.8,2018,2024,7
889,M Deyal,2015-2025,46,15,8.49,20.3,2015,2025,11
890,LW Feldman,2012-2015,14,15,7.69,19.3,2012,2015,4
891,Gaurav Yadav,2019-2024,19,15,9.36,22.3,2019,2024,6
892,P Girinath Reddy,2016-2022,22,15,7.54,20.4,2016,2022,7
893,RN Gurbani,2016-2019,17,15,7.96,22.0,2016,2019,4
894,Harmeet Singh,2013-2024,19,15,8.17,21.7,2013,2024,12
895,BE Hendricks,2014-2024,14,15,9.23,18.6,2014,2024,11
896,SSB Magala,2023-2023,14,15,8.66,17.8,2023,2023,1
897,Musfik Hasan,2024-2025,9,15,9.62,10.6,2024,2025,2
898,S Muthusamy,2023-2025,22,15,7.59,18.6,2023,2025,3
899,LN O'Connor,2016-2021,23,15,7.71,30.4,2016,2021,6
900,V Patil,2021-2024,12,15,8.2,18.0,2021,2024,4
901,AL Phehlukwayo,2014-2025,22,15,9.42,18.8,2014,2025,12
902,S Purkayastha,2009-2024,30,15,8.68,17.4,2009,2024,16
903,Rajesh Mohanty,2019-2024,21,15,7.74,23.4,2019,2024,6
904,C Sangma,2019-2023,21,15,6.64,20.0,2019,2023,5
905,V Sehwag,2007-2016,143,15,9.32,18.2,2007,2016,10
906,Shafiqul Islam,2022-2024,14,15,7.77,19.6,2022,2024,3
907,LA Singh,2019-2024,27,15,8.19,26.4,2019,2024,6
908,D Siva Kumar,2009-2018,15,15,6.84,19.3,2009,2018,10
909,B Sudhakar,2013-2016,16,15,6.35,19.2,2013,2016,4
910,LV van Beek,2014-2024,20,15,8.35,22.2,2014,2024,11
911,T van der Gugten,2014-2022,14,15,7.88,16.8,2014,2022,9
912,AP Vasisht,2019-2024,28,15,6.26,16.6,2019,2024,6
913,K Vignesh,2017-2019,11,15,7.74,15.3,2017,2019,3
914,Zahid Mahmood,2020-2024,15,15,8.52,21.5,2020,2024,5
915,B Zothansanga,2019-2024,24,15,8.43,25.2,2019,2024,6
916,CG Khurana,2011-2022,23,14,7.13,24.0,2011,2022,12
917,Kabir Ali,2012-2013,15,14,9.41,19.8,2012,2013,2
918,W Antony Dhas,2015-2018,12,14,7.02,12.5,2015,2018,4
919,Arshad Khan,2023-2025,18,14,10.59,16.4,2023,2025,3
920,Bilawal Bhatti,2012-2020,16,14,7.92,21.7,2012,2020,9
921,JH Davey,2016-2022,11,14,7.94,16.5,2016,2022,7
922,Ehsan Adil,2013-2024,12,14,7.57,16.6,2013,2024,12
923,ST Finn,2012-2018,11,14,6.87,17.1,2012,2018,7
924,RS Hangargekar,2021-2024,16,14,9.0,20.5,2021,2024,4
925,Imran Khalid,2013-2017,15,14,7.12,16.3,2013,2017,5
926,Imran Khan (1),2016-2018,12,14,7.23,19.4,2016,2018,3
927,Lakhan Singh,2015-2023,23,14,9.31,12.4,2015,2023,9
928,GD McGrath,2008-2009,16,14,6.7,25.7,2008,2009,2
929,G Manish,2019-2023,16,14,6.89,23.9,2019,2023,5
930,GE Mathurin,2013-2017,25,14,6.9,26.8,2013,2017,5
931,Nahid Rana,2023-2025,17,14,8.52,26.1,2023,2025,3
932,D Negi,2019-2023,28,14,6.83,23.1,2019,2023,5
933,M Ntini,2007-2010,19,14,7.89,28.7,2007,2010,4
934,RR Powar,2007-2012,28,14,7.49,32.1,2007,2012,6
935,SS Quadri,2014-2021,17,14,6.54,24.2,2014,2021,8
936,R Ravindra,2024-2025,24,14,4.41,8.6,2024,2025,2
937,N Sindhu,2022-2024,22,14,6.26,19.2,2022,2024,3
938,PH Solanki,2021-2024,16,14,7.99,24.0,2021,2024,4
939,Subashis Roy,2015-2019,22,14,8.37,29.2,2015,2019,5
940,SLA Tai,2016-2018,19,14,8.45,16.5,2016,2018,3
941,LL Tsotsobe,2010-2014,17,14,7.84,24.8,2010,2014,5
942,S Vidyut,2007-2010,25,14,6.91,15.0,2007,2010,4
943,Vaisakh Chandran,2022-2023,10,14,5.84,13.7,2022,2023,2
944,Yashpal Singh,2007-2019,63,14,6.85,24.5,2007,2019,13
945,NRJ Young,2020-2024,24,14,9.0,20.7,2020,2024,5
946,Afroz Khan,2007-2011,10,13,8.34,14.7,2007,2011,5
947,RM Alam,2019-2024,18,13,7.43,26.7,2019,2024,6
948,TD Andrews,2016-2025,17,13,7.58,23.0,2016,2025,10
949,Ashwin Das,2016-2022,12,13,8.77,17.7,2016,2022,7
950,AB Charak,2021-2024,30,13,7.71,25.7,2021,2024,4
951,TLW Cooper,2010-2022,121,13,7.92,24.0,2010,2022,13
952,Z Evans,2020-2022,10,13,10.03,12.9,2020,2022,3
953,SC Ganguly,2007-2012,62,13,7.82,23.7,2007,2012,6
954,GHS Garton,2021-2025,20,13,9.48,21.6,2021,2025,5
955,NA Gordon,2022-2023,16,13,9.17,18.9,2022,2023,2
956,Irfan Khan,2009-2015,21,13,6.89,22.1,2009,2015,7
957,Jahandad Khan,2024-2025,15,13,9.1,20.5,2024,2025,2
958,SB Joshi,2007-2010,15,13,7.16,21.7,2007,2010,4
959,Karan Lal,2021-2024,24,13,5.93,13.8,2021,2024,4
960,R McLaren,2009-2013,23,13,8.82,34.6,2009,2013,5
961,NJ Maddinson,2011-2023,124,13,7.48,16.1,2011,2023,13
962,D Madushanka,2020-2024,16,13,8.72,24.9,2020,2024,5
963,AR Maini,2019-2019,6,13,5.79,11.0,2019,2019,1
964,KR Marak,2019-2023,19,13,8.03,15.6,2019,2023,5
965,RK Mohanty,2009-2013,14,13,7.3,12.0,2009,2013,5
966,Naeem Islam,2009-2025,52,13,7.13,13.7,2009,2025,17
967,AR Nedd,2020-2024,15,13,6.78,23.4,2020,2024,5
968,AA Pandey,2021-2024,12,13,7.83,17.0,2021,2024,4
969,AG Pandrekar,2017-2022,18,13,7.5,24.3,2017,2022,6
970,HM Patel,2019-2024,20,13,7.44,16.3,2019,2024,6
971,UB Patel,2009-2015,18,13,7.44,20.6,2009,2015,7
972,BA Pathan,2017-2021,17,13,7.13,23.5,2017,2021,5
973,SS Paul,2021-2024,20,13,7.69,19.8,2021,2024,4
974,AG Praveen,2010-2014,17,13,6.46,26.6,2010,2014,5
975,MG Sirur,2019-2021,11,13,7.78,15.5,2019,2021,3
976,Sunny Rana,2019-2019,11,13,7.73,15.6,2019,2019,1
977,Tahmeed Rahman,2019-2023,27,13,9.02,31.5,2019,2023,5
978,R Trumpelmann,2021-2024,13,13,7.81,20.3,2021,2024,4
979,AK Yadav,2021-2024,13,13,7.95,19.3,2021,2024,4
980,MR Adair,2021-2024,13,12,7.48,22.8,2021,2024,4
981,Ahsan Malik,2014-2016,9,12,6.61,12.9,2014,2016,3
982,Amir Hamza,2014-2025,15,12,7.02,27.4,2014,2025,12
983,Amit Ali,2021-2023,9,12,6.78,13.4,2021,2023,3
984,Ankit Chaudhary,2019-2019,9,12,5.87,16.5,2019,2019,1
985,V Athisayaraj Davidson,2018-2018,9,12,7.73,15.0,2018,2018,1
986,DE Bernard,2013-2014,16,12,6.53,21.5,2013,2014,2
987,TL Best,2013-2017,13,12,8.57,21.9,2013,2017,5
988,J Bishop,2019-2023,15,12,7.55,21.9,2019,2023,5
989,DR Briggs,2012-2021,15,12,7.54,24.9,2012,2021,10
990,C Connolly,2023-2025,25,12,7.27,18.5,2023,2025,3
991,C de Grandhomme,2012-2023,55,12,9.22,38.5,2012,2023,12
992,JW Dernbach,2011-2019,13,12,9.97,22.0,2011,2019,9
993,CJD de Villiers,2009-2012,8,12,7.08,12.0,2009,2012,4
994,GH Dockrell,2010-2024,22,12,7.47,18.5,2010,2024,15
995,RT D'Souza,2009-2015,20,12,7.32,26.7,2009,2015,7
996,JN Frylinck,2021-2024,14,12,7.16,16.7,2021,2024,4
997,Gagandeep Singh,2007-2008,14,12,7.25,25.5,2007,2008,2
998,DD Gaonkar,2015-2024,45,12,8.63,28.5,2015,2024,10
999,Gulbadin Naib,2012-2024,31,12,8.04,21.2,2012,2024,13
1000,Hasan Murad,2022-2025,13,12,8.18,21.5,2022,2025,4
1001,Imran Khan,2021-2022,10,12,8.63,17.8,2021,2022,2
1002,Jaskaran Singh,2014-2018,15,12,8.03,26.0,2014,2018,5
1003,Kamran Khan,2009-2011,11,12,8.65,17.3,2009,2011,3
1004,JJ Khan,2010-2015,9,12,7.44,17.0,2010,2015,6
1005,SN Khanolkar,2007-2012,21,12,7.11,21.5,2007,2012,6
1006,Kuldeep Sharma,2009-2011,11,12,5.58,20.5,2009,2011,3
1007,M Labuschagne,2017-2025,28,12,9.72,14.0,2017,2025,9
1008,AM Makda,2007-2010,14,12,6.66,25.5,2007,2010,4
1009,Md Saptulla,2021-2024,27,12,8.68,33.0,2021,2024,4
1010,Nischal Gaur,2007-2007,5,12,5.85,10.0,2007,2007,1
1011,A Palkar,2021-2022,9,12,8.16,13.4,2021,2022,2
1012,V Panwar,2024-2024,9,12,7.88,18.0,2024,2024,1
1013,JK Parmar,2018-2019,7,12,8.37,11.1,2018,2019,2
1014,SS Paul,2007-2007,8,12,5.9,15.5,2007,2007,1
1015,M Prabhu,2010-2014,12,12,6.6,22.5,2010,2014,5
1016,Prince Yadav,2024-2025,10,12,7.99,17.5,2024,2025,2
1017,PM Pushpakumara,2020-2023,11,12,8.22,13.5,2020,2023,4
1018,Samiullah Shinwari,2010-2025,29,12,7.19,34.0,2010,2025,16
1019,NS Shaikh,2017-2022,45,12,5.89,18.9,2017,2022,6
1020,G Sharma,2007-2016,24,12,6.66,26.4,2007,2016,10
1021,Shiva Singh,2019-2023,22,12,6.87,37.0,2019,2023,5
1022,HR Shokeen,2022-2023,18,12,8.54,22.5,2022,2023,2
1023,L Sipamla,2025-2025,9,12,8.26,16.0,2025,2025,1
1024,JT Smuts,2011-2025,33,12,7.86,25.0,2011,2025,15
1025,Susheel Kumar,2022-2024,13,12,9.23,21.6,2022,2024,3
1026,N Tanwar,2018-2024,16,12,7.77,21.9,2018,2024,7
1027,RA Tripathi,2013-2025,159,12,7.5,19.0,2013,2025,13
1028,T Vijay,2023-2024,8,12,6.0,15.5,2023,2024,2
1029,PS Vijayran,2015-2022,21,12,8.03,26.2,2015,2022,8
1030,SC Williams,2014-2024,26,12,6.67,23.0,2014,2024,11
1031,Jai P Yadav,2009-2011,12,12,7.31,22.0,2009,2011,3
1032,S Yadav,2009-2014,17,12,6.84,28.9,2009,2014,6
1033,Abhishek Yadav,2016-2024,24,11,7.33,18.4,2016,2024,9
1034,SSD Arachchige,2020-2024,24,11,7.92,15.2,2020,2024,5
1035,MD Bates,2011-2012,7,11,6.07,14.1,2011,2012,2
1036,RR Batham,2019-2024,15,11,7.05,23.2,2019,2024,6
1037,RR Bose,2007-2009,11,11,8.56,21.2,2007,2009,3
1038,L Bowe,2017-2020,14,11,8.66,21.2,2017,2020,4
1039,RP Burl,2019-2025,38,11,8.04,24.5,2019,2025,7
1040,TL Chatara,2014-2022,13,11,6.72,24.0,2014,2022,9
1041,JR Coleman,2018-2020,10,11,7.18,13.8,2018,2020,3
1042,AR Cusack,2009-2014,12,11,9.18,17.4,2009,2014,6
1043,PP Das,2012-2023,55,11,7.04,24.5,2012,2023,12
1044,DYA Davis,2015-2024,13,11,7.9,16.3,2015,2024,10
1045,M Diwakar,2007-2009,7,11,7.5,13.4,2007,2009,3
1046,FY Fazal,2007-2019,65,11,7.22,14.7,2007,2019,13
1047,D Ferreira,2023-2025,35,11,5.87,16.9,2023,2025,3
1048,Ghulam Mudassar,2017-2022,12,11,10.51,21.6,2017,2022,6
1049,DAS Gunaratne,2019-2023,17,11,8.33,19.8,2019,2023,5
1050,M Gupta,2017-2018,9,11,6.75,14.4,2017,2018,2
1051,P Gupta,2009-2014,12,11,7.87,22.3,2009,2014,6
1052,C Hemraj,2018-2023,46,11,7.04,20.8,2018,2023,6
1053,T Hinds,2018-2024,14,11,9.63,21.4,2018,2024,7
1054,D Kalyankrishna,2007-2010,12,11,8.82,21.8,2007,2010,4
1055,JJ Krejza,2011-2013,11,11,8.52,20.7,2011,2013,3
1056,G Lalbiakvela,2019-2023,28,11,9.49,36.5,2019,2023,5
1057,MK Lomror,2017-2024,107,11,7.48,44.7,2017,2024,8
1058,D Mahajan,2007-2011,17,11,7.3,16.3,2007,2011,5
1059,MG Gawas,2013-2017,14,11,8.62,21.8,2013,2017,5
1060,MS Redkar,2023-2024,13,11,8.3,19.6,2023,2024,2
1061,WA Mota,2007-2010,21,11,7.18,22.6,2007,2010,4
1062,M Mudhasir,2013-2018,12,11,7.32,21.4,2013,2018,6
1063,A Mukund,2008-2018,35,11,5.77,9.5,2008,2018,11
1064,Naeem Islam jnr,2013-2017,14,11,7.43,22.3,2013,2017,5
1065,Narender Kumar,2007-2013,23,11,7.2,33.8,2007,2013,7
1066,V Nigam,2024-2025,10,11,7.93,17.4,2024,2025,2
1067,S Nirmohi,2015-2021,13,11,7.88,24.0,2015,2021,7
1068,K Panchal,2007-2013,21,11,7.13,21.1,2007,2013,7
1069,NK Patel,2007-2013,37,11,8.67,20.1,2007,2013,7
1070,PS Poonia,2023-2024,11,11,8.5,20.7,2023,2024,2
1071,PR Prem,2007-2019,57,11,6.38,24.0,2007,2019,13
1072,Ruyel Miah,2022-2025,12,11,8.71,21.2,2022,2025,4
1073,Dipu Sangma,2021-2024,15,11,7.57,21.4,2021,2024,4
1074,AA Sanklecha,2007-2017,9,11,8.55,17.7,2007,2017,11
1075,Sarandeep Singh,2007-2009,10,11,6.26,18.5,2007,2009,3
1076,KS Shahabuddin,2007-2013,16,11,7.21,28.6,2007,2013,7
1077,Shantanu Pitre,2007-2007,7,11,6.7,14.7,2007,2007,1
1078,BB Sharma,2021-2023,12,11,7.11,24.0,2021,2023,3
1079,WD Sheridan,2011-2013,13,11,8.43,17.4,2011,2013,3
1080,DH Soni,2021-2022,8,11,8.53,15.0,2021,2022,2
1081,Sonu Singh,2016-2019,9,11,7.98,16.4,2016,2019,4
1082,OP Stone,2023-2024,10,11,9.54,18.0,2023,2024,2
1083,MD Sultan Karim,2019-2023,22,11,9.36,17.1,2019,2023,5
1084,A Taide,2019-2024,52,11,5.96,15.2,2019,2024,6
1085,KM Thakor,2014-2014,7,11,6.66,13.0,2014,2014,1
1086,PD Trego,2009-2012,20,11,9.38,25.8,2009,2012,4
1087,Tripuresh Singh,2024-2024,8,11,7.97,13.5,2024,2024,1
1088,G Upadhyaya,2007-2014,19,11,7.2,21.2,2007,2014,8
1089,PC Valthaty,2009-2013,34,11,8.3,22.4,2009,2013,5
1090,N Vimukthi,2021-2024,8,11,6.96,14.1,2021,2024,4
1091,AN Yadav,2013-2021,14,11,7.36,16.8,2013,2021,9
1092,S Ladda,2010-2016,13,10,8.41,23.4,2010,2016,7
1093,N Niyas,2009-2016,8,10,7.59,16.2,2009,2016,8
1094,RL Mali,2009-2016,7,10,8.32,11.6,2009,2016,8
1095,S Pandey,2018-2021,12,10,8.96,23.5,2018,2021,4
1096,Akash Sudan,2016-2023,9,10,9.17,13.8,2016,2023,8
1097,Anand Singh,2009-2021,27,10,8.35,27.0,2009,2021,13
1098,AV Ankolekar,2021-2024,15,10,5.93,29.4,2021,2024,4
1099,SV Bahutule,2007-2011,12,10,6.92,23.4,2007,2011,5
1100,KP Bhikane,2010-2011,12,10,8.09,26.4,2010,2011,2
1101,RR Chahar,2010-2013,11,10,7.97,21.3,2010,2013,4
1102,PC Dadhe,2017-2023,13,10,8.11,25.5,2017,2023,7
1103,SS Das,2014-2024,23,10,8.03,31.2,2014,2024,11
1104,D du Preez,2009-2010,8,10,9.1,16.8,2009,2010,2
1105,AL Fekete,2013-2020,15,10,10.16,23.9,2013,2020,8
1106,A Flintoff,2007-2015,15,10,8.56,24.6,2007,2015,9
1107,K Goel,2007-2013,44,10,7.02,19.3,2007,2013,7
1108,Gurvinder Singh,2013-2019,9,10,5.35,12.0,2013,2019,7
1109,CS Hopongkyu,2021-2024,13,10,8.95,20.3,2021,2024,4
1110,Izharulhaq Naveed,2022-2023,13,10,8.38,30.0,2022,2023,2
1111,TP Kaber,2024-2025,9,10,8.05,12.0,2024,2025,2
1112,S Randiv,2010-2013,14,10,7.97,27.6,2010,2013,4
1113,FJ Klaassen,2021-2022,11,10,6.0,23.5,2021,2022,2
1114,AA Kulkarni,2023-2024,14,10,9.53,20.7,2023,2024,2
1115,BJ McCarthy,2022-2024,10,10,8.03,21.2,2022,2024,3
1116,Mohammad Umar,2021-2023,10,10,9.47,20.9,2021,2023,3
1117,R Mondol,2023-2025,11,10,9.13,22.2,2023,2025,3
1118,Mohor Sheikh,2019-2025,11,10,9.25,17.9,2019,2025,7
1119,JM Muirhead,2012-2018,11,10,8.1,17.4,2012,2018,7
1120,Nabam Tempol,2019-2024,16,10,8.57,16.8,2019,2024,6
1121,F O'Neill,2024-2025,10,10,7.19,20.1,2024,2025,2
1122,D Olivier,2020-2020,9,10,10.16,15.7,2020,2020,1
1123,Akshat R Pandey,2016-2024,21,10,9.43,32.7,2016,2024,9
1124,MK Pandey,2007-2025,276,10,7.57,16.8,2007,2025,19
1125,H Parab,2019-2024,10,10,9.71,16.8,2019,2024,6
1126,A Phillip,2016-2022,20,10,9.45,26.4,2016,2022,7
1127,Qazi Onik,2017-2023,9,10,9.24,14.8,2017,2023,7
1128,SA Roy,2012-2024,53,10,6.4,15.0,2012,2024,13
1129,Saim Ayub,2021-2024,52,10,7.67,17.9,2021,2024,4
1130,BP Sandeep,2013-2021,47,10,6.97,41.4,2013,2021,9
1131,BM Scholtz,2021-2024,14,10,6.33,23.4,2021,2024,4
1132,KS Sharma,2021-2024,29,10,6.32,16.8,2021,2024,4
1133,RR Simmonds,2022-2024,12,10,8.7,19.5,2022,2024,3
1134,MJ Suthar,2022-2024,15,10,7.05,25.6,2022,2024,3
1135,AK Thakur,2007-2010,9,10,6.9,19.8,2007,2010,4
1136,T Thushara,2009-2010,7,10,7.62,15.9,2009,2010,2
1137,K Tripathi,2022-2024,8,10,7.0,15.6,2022,2024,3
1138,DP Vijaykumar,2007-2010,18,10,8.17,34.2,2007,2010,4
1139,Vishal Jayswal,2022-2024,9,10,7.62,16.2,2022,2024,3
1140,LJ Wright,2007-2018,103,10,8.86,33.1,2007,2018,12
1141,Zia-ul-Haq,2016-2024,10,10,8.54,18.6,2016,2024,9
1142,NP Kenjige,2024-2024,10,9,7.6,19.1,2024,2024,1
1143,Ahmed Daniyal,2021-2022,13,9,9.35,30.0,2021,2022,2
1144,Ankur Malik,2022-2024,20,9,9.15,38.8,2022,2024,3
1145,P Aziz,2007-2019,27,9,6.95,14.6,2007,2019,13
1146,A Badoni,2021-2025,75,9,7.93,17.5,2021,2025,5
1147,JT Ball,2021-2021,7,9,11.12,16.0,2021,2021,1
1148,BM Chingakham,2022-2024,21,9,8.79,28.8,2022,2024,3
1149,AS Desai,2013-2021,36,9,7.48,19.3,2013,2021,9
1150,DR Deshmukh,2019-2019,7,9,9.92,17.3,2019,2019,1
1151,T Doria,2019-2024,36,9,8.46,26.2,2019,2024,6
1152,HS Dubey,2021-2024,16,9,6.78,30.6,2021,2024,4
1153,SM Ervine,2012-2017,20,9,9.08,31.7,2012,2017,6
1154,AD Galiem,2024-2025,14,9,10.1,21.4,2024,2025,2
1155,S Ganga,2009-2013,14,9,7.76,28.0,2009,2013,5
1156,SG Gehlot,2007-2012,8,9,6.92,18.6,2007,2012,6
1157,BD Glover,2021-2022,5,9,6.26,9.8,2021,2022,2
1158,AN Guleria,2023-2024,7,9,7.26,15.3,2023,2024,2
1159,Gurjapneet Singh,2024-2024,5,9,9.82,11.3,2024,2024,1
1160,SR Harmer,2023-2025,23,9,8.0,40.6,2023,2025,3
1161,JM Holland,2009-2020,22,9,8.28,38.0,2009,2020,12
1162,Ibtisam Sheikh,2018-2019,8,9,7.41,16.0,2018,2019,2
