,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length
1959,SJC Keen,2012-2015,6,66,13.2,122.22,6,2,2012,2015,4
1960,Nazim Siddiqui,2018-2022,10,66,13.2,104.76,9,2,2018,2022,5
1961,KD Pandey,2022-2024,8,66,13.2,106.45,2,5,2022,2024,3
1962,AS Rajpoot,2013-2021,87,66,7.33,75.0,5,2,2013,2021,9
1963,S Ranjan,2016-2018,5,66,13.2,126.92,9,2,2016,2018,3
1964,Rubel Hossain,2009-2025,97,66,4.71,89.18,4,3,2009,2025,17
1965,SMSM Senanayake,2012-2016,22,66,9.42,97.05,4,1,2012,2016,5
1966,S Sharath,2024-2024,7,66,16.5,104.76,6,1,2024,2024,1
1967,Sumon Khan,2019-2025,12,66,13.2,124.52,6,3,2019,2025,7
1968,T Taibu,2007-2010,7,66,11.0,104.76,6,0,2007,2010,4
1969,HH Dippenaar,2009-2009,4,65,16.25,110.16,8,1,2009,2009,1
1970,KA Jamieson,2021-2021,9,65,16.25,118.18,5,3,2021,2021,1
1971,J Merlo,2019-2024,17,65,6.5,98.48,6,0,2019,2024,6
1972,PP Ojha,2007-2018,139,65,3.61,63.72,0,2,2007,2018,12
1973,SA Quadri,2010-2011,6,65,21.66,98.48,4,1,2010,2011,2
1974,Rakibul Hasan,2023-2025,22,65,10.83,120.37,5,4,2023,2025,3
1975,M Shumba,2022-2022,7,65,10.83,79.26,5,0,2022,2022,1
1976,R Trumpelmann,2021-2024,13,65,21.66,118.18,5,3,2021,2024,4
1977,R Vivek,2019-2019,5,65,21.66,132.65,6,3,2019,2019,1
1978,RK Warbah,2024-2024,6,65,10.83,78.31,3,1,2024,2024,1
1979,Yashu Sharma,2019-2023,9,65,9.28,98.48,8,1,2019,2023,5
1980,Abhishek Gupta,2018-2018,9,64,12.8,116.36,5,1,2018,2018,1
1981,Aditya,2019-2019,2,64,64.0,139.13,5,4,2019,2019,1
1982,GV Bhatawadekar,2019-2019,5,64,12.8,106.66,7,2,2019,2019,1
1983,NRD Compton,2011-2011,7,64,21.33,116.36,6,1,2011,2011,1
1984,PL Das,2007-2021,56,64,3.76,92.75,5,2,2007,2021,15
1985,N Davin,2024-2024,4,64,16.0,96.96,7,2,2024,2024,1
1986,MF Hurst,2024-2025,5,64,12.8,91.42,4,1,2024,2025,2
1987,RD John,2024-2024,7,64,12.8,145.45,8,2,2024,2024,1
1988,V Nigam,2024-2024,7,64,16.0,156.09,7,3,2024,2024,1
1989,KP Patel,2017-2021,11,64,9.14,96.96,2,3,2017,2021,5
1990,VA Saxena,2010-2010,4,64,32.0,145.45,8,1,2010,2010,1
1991,PM Yadav,2022-2024,6,64,10.66,128.0,5,2,2022,2024,3
1992,Aasif Sheikh,2024-2024,3,63,21.0,88.73,9,1,2024,2024,1
1993,Afroz Khan,2007-2011,10,63,12.6,91.3,4,1,2007,2011,5
1994,OS Afzal,2007-2007,4,63,15.75,114.54,2,0,2007,2007,1
1995,Akash Verma,2010-2018,7,63,9.0,86.3,8,0,2010,2018,9
1996,Akshat Raghuwanshi,2022-2022,7,63,12.6,131.25,7,2,2022,2022,1
1997,Dhiman Ghosh,2012-2017,15,63,10.5,86.3,2,1,2012,2017,6
1998,Jagjit Singh,2021-2024,21,63,15.75,153.65,4,4,2021,2024,4
1999,AS Jain,2007-2010,5,63,12.6,126.0,5,1,2007,2010,4
