,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length
492,YV Takawale,2007-2019,39,741,24.7,105.4,70,20,2007,2019,13
493,Hazratullah Zazai,2019-2024,35,739,21.73,128.97,72,41,2019,2024,6
494,K Gowtham,2011-2024,92,734,15.29,158.18,62,40,2011,2024,14
495,JS Wadhwan,2016-2022,26,734,33.36,120.72,71,27,2016,2022,7
496,A Manohar,2021-2024,42,729,31.69,149.07,47,47,2021,2024,4
497,DB Das,2008-2019,57,728,28.0,128.39,57,33,2008,2019,12
498,A Mukund,2008-2018,35,728,26.96,110.3,67,7,2008,2018,11
499,UU Bose,2013-2021,43,725,18.12,115.07,76,28,2013,2021,9
500,R Sathish,2009-2017,67,722,19.0,128.92,62,23,2009,2017,9
501,AS Raut,2009-2022,65,721,21.2,111.6,65,16,2009,2022,14
502,JE Root,2012-2025,31,720,31.3,128.34,75,15,2012,2025,14
503,AA Barot,2014-2021,20,717,37.73,146.62,85,21,2014,2021,8
504,Imran Nazir,2007-2018,27,709,29.54,149.89,75,33,2007,2018,12
505,BB Das,2021-2024,22,704,35.2,121.79,82,9,2021,2024,4
506,MW Harvey,2018-2025,45,704,20.11,117.72,62,18,2018,2025,8
507,AN Kazi,2019-2024,49,700,29.16,121.31,47,31,2019,2024,6
508,KK Cooper,2011-2018,140,698,13.16,143.32,46,41,2011,2018,8
509,SS Pundir,2015-2023,42,695,24.82,111.73,59,22,2015,2023,9
510,S Samarawickrama,2020-2024,31,694,28.91,125.95,79,5,2020,2024,5
511,M Deyal,2015-2025,46,691,18.18,129.88,68,32,2015,2025,11
512,BAC Howell,2016-2024,53,691,23.82,144.25,49,34,2016,2024,9
513,Jalaj S Saxena,2009-2024,71,686,17.15,88.28,67,6,2009,2024,16
514,P Kumar,2007-2018,168,680,12.83,117.64,52,31,2007,2018,12
515,K Goel,2007-2013,44,679,19.97,91.88,57,18,2007,2013,7
516,Abdullah Shafique,2022-2024,26,678,28.25,135.87,59,26,2022,2024,3
517,AH Gupta,2011-2022,38,677,20.51,98.83,62,10,2011,2022,12
518,Mehedi Maruf,2013-2023,44,677,16.92,103.99,65,30,2013,2023,11
519,SD Chatterjee,2014-2024,40,676,21.12,111.92,73,5,2014,2024,11
520,RA Dey,2016-2024,42,676,22.53,127.3,41,32,2016,2024,9
521,S Chanderpaul,2007-2015,35,673,24.03,113.49,75,14,2007,2015,9
522,RP Burl,2019-2025,38,672,33.6,128.0,64,28,2019,2025,7
523,H Dalal,2019-2022,28,668,25.69,140.33,67,36,2019,2022,4
524,J Hermann,2023-2025,30,666,25.61,113.26,66,19,2023,2025,3
525,CS Jani,2013-2024,65,666,25.61,135.36,48,28,2013,2024,12
526,MG Neser,2011-2025,104,666,14.47,127.34,53,22,2011,2025,15
527,HG Munsey,2016-2025,28,663,25.5,126.04,72,29,2016,2025,10
528,KP Singh,2019-2024,34,663,24.55,93.77,61,20,2019,2024,6
529,DH Yagnik,2007-2017,56,662,18.91,116.96,70,18,2007,2017,11
530,Avneesh Sudha,2019-2024,29,661,24.48,126.62,75,21,2019,2024,6
531,MP Breetzke,2023-2025,28,658,29.9,128.76,62,30,2023,2025,3
532,AS Roy,2019-2024,58,657,21.19,150.34,51,32,2019,2024,6
533,KS Sharma,2021-2024,29,657,27.37,117.95,59,23,2021,2024,4
534,Sumit Kumar,2019-2024,56,657,26.28,131.4,53,31,2019,2024,6
535,AUK Pathan,2009-2016,34,656,23.42,148.75,75,28,2009,2016,8
536,BM Duckett,2017-2025,27,655,24.25,133.67,76,13,2017,2025,9
537,S Rana,2007-2015,42,654,22.55,111.41,54,18,2007,2015,9
538,D Pretorius,2012-2025,90,653,15.92,125.81,44,30,2012,2025,14
539,SB Dubey,2021-2024,30,652,38.35,152.69,38,40,2021,2024,4
540,Y Nagar,2009-2019,55,652,19.17,106.88,53,16,2009,2019,11
541,E Sen,2019-2024,37,652,25.07,128.34,66,27,2019,2024,6
542,AD Kaushik,2014-2022,31,651,22.44,107.6,57,16,2014,2022,9
543,Nasir Jamshed,2012-2016,31,650,23.21,115.86,61,20,2012,2016,5
544,TM Srivastava,2007-2019,34,649,28.21,116.3,63,15,2007,2019,13
545,CJ Jordan,2014-2025,155,648,12.46,118.03,44,27,2014,2025,12
546,TB Abell,2019-2025,32,644,24.76,127.52,73,11,2019,2025,7
547,SU Shrivastava,2009-2019,40,639,19.36,103.56,53,5,2009,2019,11
548,Anand Singh,2009-2021,27,638,27.73,119.47,84,16,2009,2021,13
549,A Ashish Reddy,2009-2019,77,637,13.55,126.89,36,28,2009,2019,11
550,NA McSweeney,2020-2025,26,637,27.69,116.88,54,14,2020,2025,6
551,SA Abbott,2011-2025,127,631,11.26,114.1,38,25,2011,2025,15
552,HH Khadiwale,2009-2016,26,630,24.23,124.01,69,12,2009,2016,8
553,W Sutherland,2018-2025,63,630,18.52,134.32,33,29,2018,2025,8
554,R Inder Singh,2009-2017,28,629,23.29,107.52,72,10,2009,2017,9
555,L Gregory,2011-2023,44,628,20.93,133.33,51,27,2011,2023,13
556,C Kieswetter,2009-2014,27,627,25.08,110.97,61,27,2009,2014,6
557,R Jangid,2009-2019,51,625,15.62,118.82,60,13,2009,2019,11
558,AJ Hosein,2014-2025,126,625,16.02,109.45,35,27,2014,2025,12
559,Salman Butt,2007-2020,26,623,24.92,109.87,80,7,2007,2020,14
560,N Wadhera,2023-2024,33,622,25.91,137.91,53,30,2023,2024,2
561,M Labuschagne,2017-2025,28,620,23.84,122.28,54,9,2017,2025,9
562,VM Jadeja,2018-2024,32,617,28.04,139.9,60,21,2018,2024,7
563,W Jaffer,2007-2012,23,616,28.0,129.14,75,11,2007,2012,6
564,BJ Pania,2021-2024,38,614,30.7,151.23,40,39,2021,2024,4
565,Mahidul Islam Ankon,2019-2025,42,612,24.48,139.72,30,39,2019,2025,7
566,Wahab Riaz,2014-2023,164,611,10.53,121.23,47,27,2014,2023,10
567,CD Barnwell,2010-2019,59,609,16.45,114.47,32,31,2010,2019,10
568,Sumeet Verma,2011-2024,54,607,15.56,138.58,51,31,2011,2024,14
569,MP O'Dowd,2021-2024,23,606,30.3,108.99,56,18,2021,2024,4
570,PWA Mulder,2023-2025,32,603,26.21,136.11,54,23,2023,2025,3
571,BJ Dwarshuis,2014-2025,117,602,18.24,145.06,39,30,2014,2025,12
572,CJ Simmons,2014-2015,24,601,25.04,139.44,55,34,2014,2015,2
573,Sunny Singh,2007-2011,33,599,23.03,119.32,66,12,2007,2011,5
574,Puneet Yadav,2010-2017,35,598,23.0,116.34,62,12,2010,2017,8
575,Mahmudul Hasan Joy,2022-2024,30,596,24.83,109.35,52,15,2022,2024,3
576,RH Bhatt,2007-2018,43,595,22.03,115.08,49,11,2007,2018,12
577,Gurinder Singh,2013-2022,59,594,25.82,121.47,35,26,2013,2022,10
578,OF Smith,2017-2024,74,593,18.53,129.75,40,45,2017,2024,8
579,Azmatullah Omarzai,2022-2025,57,591,19.06,138.73,36,34,2022,2025,4
580,Ibrahim Zadran,2022-2025,25,591,23.64,109.44,60,14,2022,2025,4
581,Babul Kumar,2019-2023,33,589,20.31,110.71,73,10,2019,2023,5
582,TK Curran,2018-2025,61,589,20.31,136.65,59,16,2018,2025,8
583,TF Rogers,2022-2025,34,589,19.0,119.95,66,12,2022,2025,4
584,SB Styris,2007-2014,49,586,17.75,114.45,35,23,2007,2014,8
585,Alok Kapali,2007-2022,73,585,16.25,96.53,42,16,2007,2022,16
586,M Jansen,2021-2025,73,584,20.85,133.02,38,32,2021,2025,5
587,C Connolly,2023-2025,25,577,38.46,136.72,36,28,2023,2025,3
588,AV Vasavada,2011-2021,40,575,23.95,117.1,45,12,2011,2021,11
589,P Arya,2021-2024,18,573,33.7,166.56,54,36,2021,2024,4
590,AV Wadkar,2018-2023,28,570,23.75,103.26,50,6,2018,2023,6
591,P Aziz,2007-2019,27,568,23.66,110.07,53,22,2007,2019,13
592,Agha Salman,2014-2024,31,567,21.0,121.15,51,18,2014,2024,11
593,SD Chauhan,2021-2024,29,564,24.52,146.87,43,31,2021,2024,4
594,PD Collingwood,2007-2012,35,564,19.44,124.22,37,22,2007,2012,6
595,J Edwards,2018-2025,51,563,14.43,112.6,59,7,2018,2025,8
596,JD Unadkat,2010-2024,192,562,15.61,130.09,38,28,2010,2024,15
597,Ahsan Ali,2019-2022,26,561,24.39,130.16,67,14,2019,2022,4
598,PJ Forrest,2011-2015,30,554,23.08,106.53,44,12,2011,2015,5
599,MJ North,2011-2014,31,552,29.05,109.09,44,12,2011,2014,4
600,JN Shah,2007-2017,36,551,16.2,107.61,53,20,2007,2017,11
601,VH Zol,2013-2019,25,551,25.04,116.0,63,12,2013,2019,7
602,S Sohal,2007-2018,34,550,18.96,116.03,54,23,2007,2018,12
603,S Kanwar,2010-2021,26,548,21.92,122.04,54,30,2010,2021,12
604,B Indrajith,2014-2024,30,546,21.0,122.97,43,15,2014,2024,11
605,R Sanjay Yadav,2017-2023,35,546,22.75,118.95,29,29,2017,2023,7
606,MJ Owen,2021-2025,27,545,28.68,182.27,45,38,2021,2025,5
607,R Dewan,2009-2015,32,544,18.13,92.99,67,3,2009,2015,7
608,Imam-ul-Haq,2019-2021,22,542,24.63,124.31,50,13,2019,2021,3
609,K Chandela,2021-2024,26,540,24.54,126.16,46,20,2021,2024,4
610,SN Khanolkar,2007-2012,21,539,29.94,126.52,56,13,2007,2012,6
611,AR Gupta,2014-2023,41,538,16.81,127.48,32,38,2014,2023,10
612,Gaurav Puri,2019-2024,27,537,29.83,154.31,23,43,2019,2024,6
613,Saif Hassan,2019-2025,26,537,21.48,117.24,50,24,2019,2025,7
614,RE van der Merwe,2009-2023,88,532,12.97,117.96,46,17,2009,2023,15
615,Ramandeep Singh,2017-2024,60,531,23.08,168.03,32,37,2017,2024,8
616,UA Birla,2009-2015,29,530,24.09,107.94,45,16,2009,2015,7
617,RR Buddhi,2021-2024,33,529,25.19,124.47,49,17,2021,2024,4
618,I Udana,2009-2024,87,529,16.03,129.33,37,28,2009,2024,16
619,RR Dhuper,2018-2023,30,527,21.95,106.46,39,17,2018,2023,6
620,S Gopal,2014-2024,104,526,16.43,120.64,52,10,2014,2024,11
621,AP Majumdar,2007-2021,37,526,20.23,103.95,63,3,2007,2021,15
622,T Doria,2019-2024,36,525,15.44,78.24,58,5,2019,2024,6
623,WCF Smeed,2022-2025,18,523,29.05,135.84,57,19,2022,2025,4
624,NM Coulter-Nile,2011-2024,132,520,11.06,132.99,35,32,2011,2024,14
625,PU Deshpande,2015-2021,26,517,34.46,138.97,39,19,2015,2021,7
626,AK Karnewar,2016-2023,64,516,14.33,132.64,40,24,2016,2023,8
627,PD Trego,2009-2012,20,513,28.5,107.54,49,9,2009,2012,4
628,CM Gautam,2011-2018,48,511,17.03,108.95,49,13,2011,2018,8
629,Utkarsh Singh,2019-2024,32,511,25.55,128.07,63,11,2019,2024,6
630,SD Chitnis,2008-2016,34,510,28.33,153.15,38,27,2008,2016,9
631,AK Perera,2014-2024,26,508,24.19,127.31,50,14,2014,2024,11
632,A Thapa,2019-2024,42,508,13.36,75.03,45,2,2019,2024,6
633,A Juyal,2019-2024,23,505,29.7,129.48,56,14,2019,2024,6
634,S Prasanna,2012-2023,71,505,12.94,149.4,23,41,2012,2023,12
635,AG Paunikar,2009-2019,32,504,19.38,113.76,62,11,2009,2019,11
636,KA Vaz,2013-2019,34,504,16.8,114.8,53,6,2013,2019,7
637,MS Gony,2008-2020,91,501,13.54,149.55,33,31,2008,2020,13
638,C Karunaratne,2021-2024,48,501,23.85,139.16,41,19,2021,2024,4
639,SK Gharami,2022-2024,22,500,31.25,124.06,42,13,2022,2024,3
640,A Tomar,2018-2024,20,499,27.72,126.01,38,25,2018,2024,7
641,T Banton,2019-2025,30,498,17.17,135.32,50,24,2019,2025,7
642,AA Joshi,2011-2021,30,497,26.15,123.01,31,16,2011,2021,11
643,AR Sarangi,2014-2019,27,497,19.88,110.19,57,6,2014,2019,6
644,Khalid Latif,2010-2016,25,496,26.1,111.96,37,19,2010,2016,7
645,AB McDonald,2009-2016,37,496,23.61,115.34,30,18,2009,2016,8
646,P Patel,2007-2018,32,495,15.96,94.28,53,8,2007,2018,12
647,RV Patel,2019-2024,43,495,21.52,142.65,33,30,2019,2024,6
648,AK Kaushik,2013-2022,31,494,32.93,124.74,23,30,2013,2022,10
649,Sumit Singh,2009-2023,44,493,12.02,94.26,50,17,2009,2023,15
650,AP Vasisht,2019-2024,28,493,32.86,151.69,43,21,2019,2024,6
651,N Chaudhary,2017-2025,32,492,22.36,133.33,46,13,2017,2025,9
652,Mohit Ahlawat,2019-2024,22,492,27.33,148.19,33,31,2019,2024,6
653,MNK Fernando,2021-2024,26,491,22.31,119.46,39,20,2021,2024,4
654,DD Gaonkar,2015-2024,45,488,18.07,122.61,44,17,2015,2024,10
655,AA Herwadkar,2015-2022,20,485,24.25,112.0,51,10,2015,2022,8
656,BMAJ Mendis,2012-2020,50,484,12.73,111.0,32,20,2012,2020,9
657,KB Pawan,2015-2021,23,484,30.25,111.26,36,17,2015,2021,7
658,Qamran Iqbal,2021-2024,19,483,26.83,124.8,44,24,2021,2024,4
659,NR Hobson,2019-2025,39,481,25.31,133.98,36,21,2019,2025,7
660,SS Kauthankar,2016-2022,29,481,20.04,102.99,45,8,2016,2022,7
661,Sameer Rizvi,2022-2024,28,480,32.0,133.33,35,25,2022,2024,3
662,D Ferreira,2023-2025,35,479,20.82,148.75,35,29,2023,2025,3
663,Y Chaudhary,2021-2024,15,478,47.8,153.69,45,27,2021,2024,4
664,WKD Perkins,2009-2017,27,477,18.34,120.15,49,24,2009,2017,9
665,R Bist,2007-2021,38,476,15.86,93.7,41,2,2007,2021,15
666,Ankit Sharma,2010-2024,80,475,13.57,106.02,38,14,2010,2024,15
667,AN Garhwal,2014-2023,34,475,14.84,124.02,62,12,2014,2023,10
668,AS Sinha,2010-2021,31,475,20.65,100.21,32,17,2010,2021,12
669,E Chigumbura,2007-2016,35,472,26.22,144.34,25,31,2007,2016,10
670,AA Jhunjhunwala,2007-2012,38,472,18.15,103.96,37,8,2007,2012,6
671,RT Ponting,2007-2013,31,471,18.84,98.74,37,12,2007,2013,7
672,RR Dalal,2013-2021,26,470,22.38,109.81,36,16,2013,2021,9
673,SP Pattnaik,2017-2024,23,469,24.68,115.51,51,12,2017,2024,8
674,RR Sarwan,2007-2016,32,469,22.33,105.86,38,8,2007,2016,10
675,H Kerr,2019-2025,61,468,19.5,127.86,30,16,2019,2025,7
676,Rishabh Tiwari,2018-2022,18,467,27.47,131.92,54,11,2018,2022,5
677,DP Das,2021-2024,29,466,16.64,104.95,40,16,2021,2024,4
678,MK Mahrour,2019-2022,23,466,24.52,100.21,44,11,2019,2022,4
679,GA Singh,2014-2021,23,463,22.04,119.02,30,27,2014,2021,8
680,AR Nurse,2013-2021,68,462,16.5,117.25,27,25,2013,2021,9
681,K Verreynne,2023-2025,22,462,28.87,143.92,40,18,2023,2025,3
682,CG Khurana,2011-2022,23,461,25.61,113.82,50,4,2011,2022,12
683,PR Shah,2007-2016,54,461,15.36,110.55,47,8,2007,2016,10
684,Aarya Desai,2023-2024,15,460,35.38,139.81,46,20,2023,2024,2
685,GF Linde,2023-2025,44,460,21.9,138.13,29,30,2023,2025,3
686,AR Pachhara,2017-2022,22,460,35.38,128.49,34,14,2017,2022,6
687,SP Wakaskar,2013-2018,18,460,25.55,139.81,42,20,2013,2018,6
688,Ankit Kumar,2019-2024,21,459,22.95,128.57,66,4,2019,2024,6
689,HJ Nielsen,2018-2024,49,459,20.86,119.22,40,7,2018,2024,7
690,R Samarth,2014-2024,30,459,17.65,106.49,38,13,2014,2024,11
691,ED Kerkar,2015-2023,29,458,24.1,112.25,40,9,2015,2023,9
692,Karan Lal,2021-2024,24,457,25.38,145.54,43,23,2021,2024,4
693,WD Parnell,2009-2024,93,457,13.84,110.92,42,12,2009,2024,16
694,RR Roy Chowdhury,2015-2024,38,457,25.38,136.01,35,19,2015,2024,10
695,Sahibzada Farhan,2018-2024,22,457,25.38,119.94,49,13,2018,2024,7
696,M Wright,2018-2024,21,457,25.38,121.86,30,19,2018,2024,7
697,CJ Borgas,2010-2014,32,456,19.0,116.32,38,9,2010,2014,5
698,AJ Hose,2022-2024,28,456,21.71,121.6,35,14,2022,2024,3
699,Parvez Hossain Emon,2022-2025,21,456,22.8,123.91,29,32,2022,2025,4
700,IP Gadekar,2021-2024,16,455,32.5,157.98,55,24,2021,2024,4
701,M Dagar,2010-2014,13,454,37.83,137.99,69,9,2010,2014,5
702,B Chipli,2008-2013,30,453,21.57,117.35,52,12,2008,2013,6
703,D Negi,2019-2023,28,453,26.64,117.66,46,9,2019,2023,5
704,DJ Raval,2017-2021,21,452,23.78,130.63,59,8,2017,2021,5
705,AJ Mandal,2017-2024,46,450,17.3,134.32,31,24,2017,2024,8
706,Salman Nizar,2018-2024,27,450,45.0,146.57,27,27,2018,2024,7
707,DS Jadhav,2009-2015,24,447,23.52,92.35,36,2,2009,2015,7
708,Nazmul Hossain Milon,2012-2020,46,447,18.62,115.8,26,16,2012,2020,9
709,SNJ O'Keefe,2010-2024,115,447,14.9,110.37,45,7,2010,2024,15
710,RP Sharma,2016-2024,35,444,21.14,125.42,33,13,2016,2024,9
711,JJ Bazley,2020-2025,47,442,14.73,129.61,30,21,2020,2025,6
712,AV Ubarhande,2009-2014,20,440,29.33,112.24,40,5,2009,2014,6
713,B Kumar,2009-2024,219,440,11.28,99.77,39,8,2009,2024,16
714,AD Chopra,2023-2024,14,439,33.76,137.61,52,12,2023,2024,2
715,DC Jurel,2021-2024,38,439,21.95,137.61,32,21,2021,2024,4
716,Abdul Razzaq,2009-2018,32,436,22.94,118.47,23,18,2009,2018,10
717,Lakhan Singh,2015-2023,23,436,19.81,127.11,50,12,2015,2023,9
718,Kaushal Singh,2014-2021,36,435,20.71,117.25,30,18,2014,2021,8
719,Farhad Reza,2007-2023,89,434,12.4,115.42,31,17,2007,2023,17
720,EP Gulbis,2012-2019,47,434,18.08,125.43,40,12,2012,2019,8
721,G Clark,2025-2025,14,431,30.78,153.38,33,23,2025,2025,1
722,D Rohit,2019-2023,34,431,13.06,97.51,52,10,2019,2023,5
723,N Sindhu,2022-2024,22,431,25.35,122.79,35,14,2022,2024,3
724,MA Carberry,2012-2016,17,429,35.75,121.52,48,11,2012,2016,5
725,Y Gnaneswara Rao,2007-2013,23,429,22.57,123.98,27,18,2007,2013,7
726,Z Crawley,2023-2025,22,428,21.4,112.63,44,9,2023,2025,3
727,Iqbal Abdulla,2007-2021,104,426,17.04,99.3,38,9,2007,2021,15
728,RS Primus,2017-2024,44,426,20.28,122.06,26,23,2017,2024,8
729,NA Rathva,2018-2024,47,426,17.04,123.47,52,10,2018,2024,7
730,JM Cox,2021-2024,26,425,18.47,130.36,37,17,2021,2024,4
731,Joginder Sharma,2007-2017,63,425,15.17,126.11,34,20,2007,2017,11
732,MS Chapman,2014-2024,25,423,22.26,121.9,36,14,2014,2024,11
733,AS Desai,2013-2021,36,423,12.81,95.27,43,15,2013,2021,9
734,Ashish Yadav,2011-2019,36,422,21.1,121.61,35,8,2011,2019,9
735,Shaheen Shah Afridi,2018-2025,96,422,14.06,145.01,24,35,2018,2025,8
736,L Vincent,2007-2013,21,421,23.38,114.4,43,17,2007,2013,7
737,SC Williams,2014-2024,26,421,19.13,123.82,38,9,2014,2024,11
738,DJ Jacobs,2010-2013,16,419,26.18,122.15,54,13,2010,2013,4
739,Kamran Ghulam,2016-2024,21,419,22.05,116.06,36,12,2016,2024,9
740,Karim Janat,2021-2024,35,419,23.27,149.11,31,25,2021,2024,4
741,J Mubarak,2007-2014,25,417,21.94,126.74,36,18,2007,2014,8
742,T Webster,2017-2022,25,414,20.7,107.53,44,15,2017,2022,6
743,AGS Gous,2024-2024,17,413,34.41,131.11,40,20,2024,2024,1
744,RK Ahmed,2018-2022,32,410,18.63,148.01,32,23,2018,2022,5
745,AB Barath,2009-2013,19,410,22.77,110.81,41,12,2009,2013,5
746,SG Das,2007-2013,20,410,24.11,111.71,53,8,2007,2013,7
747,S Vidyut,2007-2010,25,410,20.5,129.74,44,11,2007,2010,4
748,T Kelly,2021-2024,34,409,20.45,118.2,26,11,2021,2024,4
749,WJ Lubbe,2023-2025,29,409,17.04,113.92,35,16,2023,2025,3
750,Anwar Ali,2016-2024,66,406,13.53,137.62,26,22,2016,2024,9
751,R Frylinck,2010-2020,36,405,27.0,155.76,22,29,2010,2020,11
752,SS Shaikh,2009-2015,18,405,25.31,121.25,32,13,2009,2015,7
753,Sangram Singh,2007-2013,20,404,25.25,103.32,38,5,2007,2013,7
754,J Syed Mohammad,2009-2017,45,403,22.38,110.71,33,9,2009,2017,9
755,DL Vettori,2007-2015,92,403,11.85,113.84,32,10,2007,2015,9
756,Vivrant Sharma,2021-2024,24,403,20.15,121.75,45,13,2021,2024,4
757,RR Emrit,2012-2020,120,402,13.4,116.86,23,19,2012,2020,9
758,WG Bosisto,2017-2025,21,400,33.33,119.04,38,9,2017,2025,9
759,Keshav Kumar,2007-2019,28,400,25.0,94.11,34,5,2007,2019,13
760,DJ Vilas,2011-2024,26,399,19.95,115.98,39,6,2011,2024,14
761,AA Kargave,2022-2024,15,398,28.42,124.76,37,18,2022,2024,3
762,KV Kaushal,2019-2021,17,397,26.46,124.06,36,25,2019,2021,3
763,LG Pretorius,2025-2025,12,397,33.08,166.8,47,16,2025,2025,1
764,Khawaja Nafay,2023-2025,18,396,24.75,128.57,28,21,2023,2025,3
765,J Blackwood,2013-2023,30,395,17.17,89.56,27,13,2013,2023,11
766,K Nitish Kumar Reddy,2021-2024,20,395,30.38,128.24,21,24,2021,2024,4
767,DI Stevens,2012-2015,25,394,26.26,121.6,34,13,2012,2015,4
768,AJ Doolan,2013-2019,24,393,18.71,109.77,42,4,2013,2019,7
769,Hassan Khan,2017-2024,40,393,23.11,130.56,23,20,2017,2024,8
770,K Rohit Rayudu,2019-2024,19,393,30.23,142.39,32,18,2019,2024,6
771,KL Shrijith,2021-2024,17,393,32.75,146.64,27,24,2021,2024,4
772,SB Pradhan,2013-2022,52,392,14.51,178.99,19,30,2013,2022,10
773,DJ Willey,2015-2024,66,392,15.68,103.7,25,16,2015,2024,10
774,M Jangra,2019-2024,17,391,39.1,132.99,34,19,2019,2024,6
775,Shykat Ali,2013-2024,25,391,16.29,119.57,36,20,2013,2024,12
776,RK Solanki,2007-2015,16,391,27.92,103.16,43,3,2007,2015,9
777,SS Bandekar,2007-2017,33,389,14.4,108.96,25,12,2007,2017,11
778,RD Berrington,2016-2024,18,389,32.41,123.1,20,16,2016,2024,9
779,HS Joshi,2007-2016,23,389,19.45,110.51,30,13,2007,2016,10
780,Abhishek Yadav,2016-2024,24,388,21.55,130.2,36,15,2016,2024,9
781,J Yadav,2013-2023,88,388,14.92,117.93,25,13,2013,2023,11
782,Asad Shafiq,2016-2022,22,386,19.3,114.2,44,8,2016,2022,7
783,Gulbadin Naib,2012-2024,31,386,16.78,102.38,35,12,2012,2024,13
784,SS Ranjane,2013-2025,37,386,25.73,109.65,31,9,2013,2025,13
785,AM Rossington,2023-2024,18,386,22.7,153.78,50,17,2023,2024,2
786,UA Sharma,2013-2018,28,386,20.31,135.43,32,17,2013,2018,6
787,Kshitiz Sharma,2013-2023,25,385,27.5,114.58,40,14,2013,2023,11
788,A Raghuvanshi,2023-2024,21,385,24.06,134.14,37,17,2023,2024,2
789,Sanvir Singh,2021-2024,36,384,38.4,181.13,28,22,2021,2024,4
790,M Van Buuren,2023-2025,26,384,22.58,107.86,32,6,2023,2025,3
791,N Behera,2007-2011,16,383,27.35,111.01,36,6,2007,2011,5
792,Nahidul Islam,2016-2025,64,383,12.76,109.11,38,5,2016,2025,10
793,N Johnson Singh,2019-2024,29,382,15.28,87.21,40,5,2019,2024,6
794,DN Wellalage,2022-2025,42,382,21.22,114.02,45,5,2022,2025,4
795,A Bali,2009-2014,18,381,27.21,116.87,41,9,2009,2014,6
796,SB Bangar,2007-2012,33,381,15.24,124.5,35,17,2007,2012,6
797,Shahzaib Hasan,2009-2017,18,381,21.16,122.11,48,10,2009,2017,9
798,AA Singh,2013-2019,36,381,14.11,99.21,28,12,2013,2019,7
799,Tarang Gohel,2022-2024,19,381,21.16,182.29,43,23,2022,2024,3
800,KNA Bandara,2021-2023,23,380,29.23,117.28,23,9,2021,2023,3
801,Harpreet Brar,2019-2024,88,380,16.52,125.41,29,18,2019,2024,6
802,JC Archer,2017-2024,92,379,16.47,150.39,24,20,2017,2024,8
803,RH Motwani,2007-2019,31,379,13.06,104.4,34,6,2007,2019,13
804,NT Ellis,2018-2025,92,378,12.6,126.42,31,14,2018,2025,8
805,Aaron Jones,2023-2025,25,377,23.56,127.79,20,29,2023,2025,3
806,AA Bilakhia,2007-2010,19,377,23.56,107.71,44,3,2007,2010,4
807,SE Gotch,2017-2021,36,377,16.39,102.44,24,9,2017,2021,5
808,PJ Hughes,2009-2014,14,377,31.41,111.86,42,5,2009,2014,6
809,LJ Tucker,2022-2024,18,376,31.33,119.74,35,7,2022,2024,3
810,VA Indulkar,2007-2010,18,375,26.78,139.4,28,12,2007,2010,4
811,JB Karia,2011-2017,30,375,23.43,123.35,27,10,2011,2017,7
812,Jaskaranvir Singh,2015-2021,24,374,23.37,110.97,40,10,2015,2021,7
813,KU Carty,2022-2024,16,373,31.08,123.1,25,15,2022,2024,3
814,J Da Silva,2020-2024,22,373,24.86,104.18,31,8,2020,2024,5
815,SG Rohilla,2017-2024,19,373,21.94,110.02,50,3,2017,2024,8
816,DL Chahar,2010-2024,127,372,12.82,129.61,20,23,2010,2024,15
817,SS Rathour,2016-2021,16,372,26.57,104.49,38,6,2016,2021,6
818,LA Sangma,2019-2024,32,372,16.17,100.0,26,14,2019,2024,6
819,SN Thakur,2015-2024,150,372,10.05,121.17,29,14,2015,2024,10
820,AJ Tye,2014-2025,153,372,11.27,116.25,29,17,2014,2025,12
821,RD Darbar,2010-2019,18,371,21.82,110.41,46,2,2010,2019,10
822,Fazle Mahmud,2016-2024,25,371,21.82,111.41,31,15,2016,2024,9
823,M Ali,2007-2014,24,370,26.42,136.53,22,16,2007,2014,8
824,JP Greaves,2019-2024,21,368,26.28,115.0,43,6,2019,2024,6
825,Nitesh Sedai,2019-2023,25,368,16.0,102.79,39,8,2019,2023,5
826,VS Kushwah,2017-2021,30,367,21.58,154.85,19,28,2017,2021,5
827,C Bosch,2022-2025,33,366,18.3,109.58,29,9,2022,2025,4
828,SM Ervine,2012-2017,20,366,24.4,116.56,32,13,2012,2017,6
829,S Dhaliwal,2014-2024,29,365,19.21,158.0,26,23,2014,2024,11
830,Bandeep Singh,2013-2019,16,364,26.0,125.51,31,16,2013,2019,7
831,P Mustard,2012-2013,20,364,22.75,118.18,43,5,2012,2013,2
832,KW Richardson,2011-2025,135,364,12.13,113.04,24,12,2011,2025,15
833,JDP Oram,2007-2013,46,362,12.92,113.47,27,14,2007,2013,7
834,TB de Bruyn,2018-2024,20,361,20.05,112.11,28,12,2018,2024,7
835,Mohammad Saifuddin,2016-2025,73,361,16.4,128.92,31,17,2016,2025,10
836,KV Sasikanth,2015-2024,54,361,17.19,122.78,26,14,2015,2024,10
837,DP Hyatt,2013-2014,26,359,18.89,90.42,30,10,2013,2014,2
838,NE Bonner,2013-2020,23,358,19.88,87.96,27,9,2013,2020,8
839,Irfan Sukkur,2015-2025,31,358,14.91,109.81,32,11,2015,2025,11
840,BD Thaker,2007-2011,17,356,25.42,106.58,28,4,2007,2011,5
841,WB Chatterjee,2017-2024,42,354,19.66,126.88,26,15,2017,2024,8
842,PM Nevill,2011-2021,49,354,15.39,106.94,30,4,2011,2021,11
